Difficulty,Gender,a1,a2,a3,a4,a5,a6,AstExpMonths,AstWLCount,midScore,passed
2,1,1,1,1,1,0,1,8.74193548,0,53,1
2,1,1,1,1,0,1,1,8.74193548,0,68,1
1,0,0,1,1,1,1,0,8.74193548,0,73,1
2,1,1,1,1,1,1,1,8.74193548,0,85,1
2,1,1,1,1,1,1,1,8.74193548,0,61,0
1,0,1,1,1,1,1,1,8.74193548,0,84,1
1,1,1,1,1,1,1,1,38.19354839,0,94,1
2,1,1,1,1,1,1,1,8.74193548,0,80,1
1,0,0,1,1,1,1,1,38.19354839,0,94,1
2,0,1,1,1,1,1,0,14.19354839,0,78,1
2,0,1,1,1,1,1,1,8.74193548,0,81,1
2,0,1,0,1,1,1,1,26.19354839,0,98,1
1,1,1,1,1,1,1,0,8.74193548,0,55,0
2,1,1,1,0,1,1,1,14.19354839,0,71,1
2,1,1,1,1,1,1,1,14.19354839,0,62,1
1,0,1,0,1,0,1,1,8.74193548,0,88,1
2,1,1,1,1,1,1,1,26.19354839,0,91,1
2,1,1,1,1,1,1,1,26.19354839,0,81,0
3,1,0,0,1,1,1,1,26.19354839,0,72,1
2,1,1,1,1,1,1,1,14.19354839,0,64,1
2,1,1,0,1,1,1,1,8.74193548,0,58,0
1,1,0,1,1,0,1,1,8.74193548,0,76,1
2,0,1,1,1,1,1,1,14.19354839,0,78,1
1,0,1,1,1,1,1,1,8.74193548,0,60,1
2,0,1,1,1,1,1,1,26.19354839,0,76,1
2,0,1,1,1,1,1,1,14.19354839,0,58,1
2,0,1,1,1,0,0,1,26.19354839,0,60,1
3,1,1,1,1,1,1,1,26.19354839,0,97,1
1,1,1,1,1,1,1,1,8.74193548,0,88,1
1,0,1,1,1,1,1,1,8.74193548,0,73,1
2,1,1,1,1,1,0,1,8.74193548,0,77,1
2,1,0,1,1,0,1,1,26.19354839,0,73,1
2,1,1,1,1,1,1,0,26.19354839,0,88,1
2,1,1,0,0,1,1,1,26.19354839,0,58,0
3,0,1,0,1,1,1,1,26.19354839,0,50,0
2,1,1,1,1,1,1,1,14.19354839,0,53,1
3,0,1,1,1,1,1,1,44.74193548,0,88,1
3,1,1,1,1,1,1,1,20.74193548,0,83,1
3,1,1,1,1,1,1,1,26.19354839,0,70,1
2,1,1,1,1,1,1,1,8.74193548,0,85,1
2,1,1,1,1,1,1,1,8.74193548,0,95,1
2,1,1,1,1,1,1,0,26.19354839,0,89,1
3,1,0,1,1,1,1,1,26.19354839,0,100,1
2,1,1,1,1,1,1,1,20.74193548,0,95,1
3,0,1,1,1,1,1,1,26.19354839,0,88,1
2,0,1,1,1,1,0,1,26.19354839,0,68,1
1,0,1,1,1,1,1,1,8.74193548,0,67,0
2,1,1,1,1,0,1,1,20.74193548,0,95,1
2,1,1,0,1,1,1,1,8.74193548,0,65,1
2,0,1,1,1,0,1,1,14.19354839,0,98,1
2,1,1,1,1,1,1,0,26.19354839,0,92,1
2,0,0,1,1,1,1,0,26.19354839,0,88,1
2,1,0,1,1,1,0,1,20.74193548,0,66,0
3,1,1,1,1,1,1,1,26.19354839,0,93,1
2,0,1,1,1,1,1,1,20.74193548,0,57,1
2,0,1,0,1,1,1,1,14.19354839,0,51,1
3,1,1,1,1,1,0,1,50.19354839,0,53,1
1,1,0,1,1,1,1,1,8.74193548,0,82,1
2,1,1,1,1,1,1,1,8.74193548,0,60,1
3,0,1,1,1,1,1,1,50.19354839,0,98,1
2,1,1,1,0,1,1,1,26.19354839,0,71,1
2,0,1,1,0,1,1,1,8.74193548,0,68,0
2,1,1,1,1,0,1,1,20.74193548,0,63,1
3,1,1,1,1,1,1,1,50.19354839,0,70,1
2,0,1,1,1,1,0,1,14.19354839,0,55,1
3,1,0,1,1,1,1,1,26.19354839,0,76,1
3,1,0,1,1,1,0,1,50.19354839,0,74,1
2,1,1,1,1,1,1,1,8.74193548,0,74,1
3,0,1,1,1,1,1,1,26.19354839,0,58,1
1,1,1,0,1,1,1,1,38.19354839,0,68,1
1,1,0,1,0,0,1,1,8.74193548,0,86,1
1,1,1,1,1,1,1,1,8.74193548,0,57,1
2,0,1,1,1,1,1,1,8.74193548,0,91,1
2,1,1,1,1,1,1,1,8.74193548,0,95,1
2,1,1,1,1,1,1,0,14.19354839,0,55,1
2,0,1,1,1,1,1,1,26.19354839,0,74,1
1,0,1,0,1,1,1,1,8.74193548,0,66,0
2,0,1,1,1,1,1,1,26.19354839,0,66,1
3,0,0,1,1,1,1,1,26.19354839,0,76,1
3,1,0,1,1,1,1,1,26.19354839,0,52,0
2,0,1,1,1,1,1,1,14.19354839,0,68,1
2,1,1,1,1,1,1,1,20.74193548,0,62,1
2,1,1,1,1,1,1,1,20.74193548,0,78,0
2,1,1,1,1,0,1,1,14.19354839,0,95,1
2,1,1,1,1,1,1,1,8.74193548,0,77,1
2,1,1,1,1,1,1,1,26.19354839,0,57,0
2,1,1,0,0,1,1,1,20.74193548,0,60,0
2,1,1,1,1,1,1,1,26.19354839,0,66,1
2,1,1,1,1,1,1,1,26.19354839,0,94,1
1,1,1,1,1,1,1,1,8.74193548,0,52,1
2,0,1,1,1,1,1,1,26.19354839,0,91,1
2,1,1,1,1,0,0,0,8.74193548,0,58,1
2,0,1,0,1,0,1,1,14.19354839,0,89,1
1,1,1,1,1,1,1,1,38.19354839,0,92,1
1,0,1,1,1,1,0,1,38.19354839,0,80,1
2,0,1,1,1,1,1,1,14.19354839,0,88,1
1,1,1,1,1,1,0,1,8.74193548,0,86,1
3,1,1,0,1,1,1,1,26.19354839,0,62,0
2,0,1,1,1,1,1,0,8.74193548,0,80,1
1,0,0,1,1,1,1,1,8.74193548,0,65,0
2,1,1,1,1,0,1,1,14.19354839,0,59,1
2,1,1,1,0,1,1,1,20.74193548,0,95,1
2,1,1,1,1,1,0,1,26.19354839,0,98,1
3,0,1,1,1,1,1,1,26.19354839,0,52,0
3,1,1,1,1,1,1,1,50.19354839,0,56,0
2,1,1,1,1,1,1,1,14.19354839,0,64,1
1,0,1,1,1,1,1,1,8.74193548,0,88,1
3,0,1,1,0,1,1,1,26.19354839,0,51,1
2,1,1,1,1,1,1,1,14.19354839,0,52,0
3,0,1,1,1,1,1,1,26.19354839,0,61,1
2,1,1,1,0,1,1,1,8.74193548,0,53,1
3,1,1,0,1,1,1,1,50.19354839,0,100,1
2,0,1,1,1,0,1,0,26.19354839,0,90,1
1,1,1,1,1,1,0,1,8.74193548,0,99,1
2,1,1,1,1,1,0,1,26.19354839,0,94,1
2,0,1,1,1,1,1,1,8.74193548,0,72,1
3,0,1,1,1,1,1,1,44.74193548,0,87,1
1,0,1,1,0,1,1,0,8.74193548,0,92,1
2,0,1,1,1,1,0,1,20.74193548,0,89,1
2,1,1,1,1,1,1,1,20.74193548,0,56,0
2,1,1,1,1,1,1,1,20.74193548,0,52,1
2,1,1,1,0,1,1,1,14.19354839,0,77,1
3,1,1,1,1,1,0,1,20.74193548,0,83,1
2,1,1,0,1,1,1,1,8.74193548,0,56,0
3,1,1,1,1,1,1,1,50.19354839,0,90,1
2,1,1,1,1,1,1,1,20.74193548,0,64,1
2,1,1,1,1,1,1,1,20.74193548,0,68,1
2,0,1,1,1,1,1,1,8.74193548,0,92,1
3,1,1,1,1,1,1,1,44.74193548,0,51,0
2,1,1,0,1,1,1,1,14.19354839,0,64,0
1,1,1,1,1,1,1,1,8.74193548,0,70,0
1,0,1,1,1,1,1,1,8.74193548,0,52,0
2,0,1,1,1,1,0,1,8.74193548,0,99,1
1,0,1,1,1,1,1,1,8.74193548,0,85,1
2,1,1,0,0,1,1,1,26.19354839,0,76,0
2,0,0,1,1,1,1,1,8.74193548,0,93,1
1,1,1,1,0,1,0,1,8.74193548,0,66,0
2,0,1,1,1,1,1,0,20.74193548,0,98,1
3,1,1,1,1,1,1,1,26.19354839,0,71,1
1,1,1,1,1,1,1,1,8.74193548,0,83,1
3,1,1,1,1,1,1,1,44.74193548,0,77,1
2,0,1,1,1,1,1,1,14.19354839,0,67,0
1,1,1,1,1,1,1,0,8.74193548,0,96,1
2,0,1,1,0,1,1,1,8.74193548,0,89,1
2,1,1,1,1,1,1,1,38.19354839,2,84,1
2,1,1,1,1,1,1,1,20.74193548,0,50,1
1,1,1,1,1,0,1,1,8.74193548,0,55,0
3,1,1,1,1,1,1,0,26.19354839,0,70,1
1,0,1,1,1,0,1,0,8.74193548,0,70,1
2,1,1,1,1,1,1,0,14.19354839,0,54,1
2,0,1,1,0,1,1,1,26.19354839,0,59,1
1,1,1,1,1,1,1,0,38.19354839,0,68,0
2,0,1,1,0,0,1,1,8.74193548,0,57,0
1,1,1,0,1,1,1,1,38.19354839,0,68,1
2,0,1,0,1,1,1,1,8.74193548,0,78,1
2,0,1,1,1,1,1,1,26.19354839,0,99,1
3,1,1,1,1,1,1,0,50.19354839,0,85,1
2,0,1,1,1,0,1,1,8.74193548,0,65,1
1,1,1,1,1,1,1,1,8.74193548,0,65,1
3,1,1,1,1,1,0,1,26.19354839,0,94,1
3,1,1,1,0,1,1,1,26.19354839,0,90,1
3,1,1,0,1,1,1,1,26.19354839,0,72,0
2,1,1,1,0,1,1,1,26.19354839,0,84,1
2,1,0,0,1,1,1,1,20.74193548,0,58,1
2,1,1,1,1,1,1,1,26.19354839,0,51,1
1,0,0,1,1,1,1,1,38.19354839,0,61,0
2,1,1,1,1,1,1,1,8.74193548,0,57,0
2,0,1,1,1,1,0,1,26.19354839,0,83,1
2,0,1,1,1,1,1,1,8.74193548,0,78,1
1,1,1,1,1,1,1,1,8.74193548,0,100,1
3,0,1,1,1,1,1,1,20.74193548,0,63,1
3,1,0,1,1,1,0,1,26.19354839,0,69,0
1,1,1,1,1,1,1,1,38.19354839,0,78,0
2,0,1,1,1,1,1,1,8.74193548,0,67,1
1,0,1,1,1,1,1,1,8.74193548,0,55,0
2,1,1,1,1,1,1,1,8.74193548,0,73,1
2,1,1,1,1,1,1,0,8.74193548,0,65,1
2,1,1,1,1,1,1,1,8.74193548,0,86,1
2,1,1,1,1,1,1,1,8.74193548,0,75,0
2,0,1,1,1,1,1,1,26.19354839,0,79,1
1,1,1,1,1,0,1,1,38.19354839,0,60,1
3,0,1,1,0,1,1,1,26.19354839,0,93,1
3,1,1,1,1,1,1,1,50.19354839,0,92,1
2,0,1,1,1,1,1,1,8.74193548,0,92,1
3,1,1,1,1,1,1,1,26.19354839,0,64,0
3,0,1,1,1,0,1,1,26.19354839,0,85,1
1,0,1,1,1,1,1,1,8.74193548,0,58,1
3,0,1,1,1,1,1,1,20.74193548,0,74,1
3,1,1,1,1,1,1,1,26.19354839,0,77,1
2,0,1,1,1,1,1,1,26.19354839,0,61,1
2,1,1,1,0,0,1,1,8.74193548,0,98,1
2,1,1,1,1,1,1,1,20.74193548,0,64,1
2,1,1,1,1,1,1,1,20.74193548,0,93,1
1,1,1,1,1,1,1,1,8.74193548,0,79,1
3,0,1,1,1,1,1,0,26.19354839,0,97,1
3,1,1,1,1,1,1,0,50.19354839,0,85,1
2,1,1,1,1,1,1,1,8.74193548,0,92,1
1,1,1,1,1,1,1,1,8.74193548,0,50,1
3,0,1,1,1,1,1,1,20.74193548,0,59,0
2,0,1,1,1,1,1,1,8.74193548,0,88,1
2,1,1,0,1,1,1,1,8.74193548,0,94,1
1,1,1,1,1,1,1,1,38.19354839,0,60,1
3,1,0,0,1,1,1,1,50.19354839,0,92,1
3,0,0,1,1,0,1,0,26.19354839,0,93,1
3,0,0,1,1,1,1,1,26.19354839,0,79,1
3,0,1,1,1,1,1,1,26.19354839,0,97,1
1,0,1,1,1,1,0,1,38.19354839,0,71,1
2,1,0,1,1,1,0,1,20.74193548,0,86,1
2,1,1,1,1,1,1,1,8.74193548,0,64,1
3,0,0,1,0,1,1,1,50.19354839,0,60,1
3,0,1,1,1,1,0,1,44.74193548,0,91,1
1,0,0,1,1,1,1,1,8.74193548,0,85,1
1,1,1,1,1,1,1,1,38.19354839,0,76,1
1,1,1,0,1,1,1,0,8.74193548,0,78,1
2,0,1,1,1,1,0,1,14.19354839,0,76,1
1,1,1,1,1,1,1,0,38.19354839,0,60,1
2,1,1,1,1,1,1,1,14.19354839,0,81,0
3,0,1,1,1,1,1,1,26.19354839,0,96,1
3,1,1,1,1,1,1,1,50.19354839,0,80,1
2,0,1,0,1,0,1,1,8.74193548,0,92,1
2,0,1,1,1,1,1,1,20.74193548,0,65,1
2,1,1,1,1,1,1,1,26.19354839,0,80,1
2,1,1,1,1,1,1,1,20.74193548,0,86,1
2,1,1,1,0,1,1,1,14.19354839,0,77,1
2,1,0,1,1,0,1,1,26.19354839,0,92,1
